,Class
132350,0
154720,1
63124,0
139098,0
47802,1
53398,0
14104,1
27738,1
244004,1
34263,0
129046,0
82400,1
251891,1
247965,0
68633,1
151807,1
79913,0
224894,0
38441,0
23308,1
157918,1
277722,0
123201,1
44189,0
178208,1
240222,1
3406,0
141687,0
172164,0
168506,0
82649,0
256801,0
50537,1
107681,0
149869,1
18466,1
238763,0
39183,1
123301,1
54424,0
266647,0
77286,0
30496,1
154234,1
183889,0
8972,1
192972,0
178228,0
6472,1
55495,0
208122,0
124115,1
58974,0
73547,0
50605,0
146047,0
139894,0
208651,1
42473,1
217398,0
243848,1
31255,0
129424,0
42700,1
214662,1
203328,1
218442,1
10568,1
6734,1
85505,0
189605,0
14710,0
120837,1
183106,1
76929,1
143188,1
96789,1
252774,1
144332,0
152648,0
274915,0
6820,1
248296,1
161819,0
227723,0
27078,0
59539,1
275992,1
101916,0
191690,1
137367,0
157859,0
31002,1
124036,1
123141,1
163149,1
123612,0
68888,0
245347,1
237426,1
255403,1
42696,1
11940,0
230076,1
8617,1
99141,0
150680,1
21925,0
83053,1
133012,0
252117,0
149600,1
239499,1
212197,0
150697,1
231602,0
261473,1
53591,1
104881,0
150668,1
80760,1
281144,1
88237,0
20056,0
167451,0
140036,0
6529,1
140786,1
18631,0
86076,0
143303,0
129023,0
152019,1
81186,1
153225,0
207901,0
76555,1
231535,0
124437,0
156396,0
72200,0
97767,0
70141,1
132718,0
138019,0
227143,0
251831,0
30314,1
238366,1
128479,1
30473,1
6971,1
75437,0
55157,0
165743,0
88897,1
127859,0
56703,1
77348,1
152295,1
149572,0
23422,1
9487,1
53794,1
15166,1
95597,1
57470,1
21316,0
84846,0
14481,0
228959,0
235075,0
199896,1
123778,0
249607,1
236188,0
195516,0
151363,0
982,0
257282,0
194751,0
40085,1
237156,0
262365,0
41569,1
50211,1
200942,0
270878,0
150601,1
18809,1
205196,0
23523,0
151462,1
79536,1
28242,0
251746,0
93017,0
249828,1
107067,1
85624,0
124176,1
135961,0
35025,0
189592,0
223618,1
43061,1
258989,0
